lncRNA	Chromosome	Start	End
A1BG-AS1	chr19	58347718	58355455
A2M-AS1	chr12	9065163	9068689
A2ML1-AS1	chr12	8776219	8830947
A2ML1-AS2	chr12	8819816	8820713
AADACL2-AS1	chr3	151751443	151928175
AATBC	chr21	43805758	43812567
ABALON	chr20	31721507	31723409
ABCA9-AS1	chr17	68944531	69042784
ABCC5-AS1	chr3	184006338	184011419
ABHD15-AS1	chr17	29560547	29707090
AC000032.1	chr1	109693117	109693742
AC000035.1	chr22	29480220	29481113
AC000036.1	chr22	50735825	50738139
AC000050.3	chr22	50672714	50674174
AC000058.1	chr7	91638847	91643512
AC000061.1	chr7	117604791	117647415
AC000065.1	chr7	92647906	92667083
AC000065.2	chr7	92638198	92642316
AC000067.1	chr22	19667023	19667555
AC000068.1	chr22	19447893	19450105
AC000068.2	chr22	19456503	19456962
AC000068.3	chr22	19454179	19454605
AC000072.1	chr22	19196402	19200083
AC000082.1	chr22	19520572	19522769
AC000085.1	chr22	19291969	19328901
AC000113.1	chrX	110472692	110524320
AC000120.2	chr7	92200014	92206857
AC000123.1	chr7	127350128	127351523
AC000124.1	chr7	127476883	127485804
AC000372.1	chr7	126378970	126424185
AC000403.1	chr13	76887551	76891135
AC001226.1	chr13	77027944	77028482
AC002044.1	chr16	73014319	73014476
AC002056.2	chr22	50740593	50743520
AC002057.1	chr7	126533665	126537295
AC002057.2	chr7	126495312	126531336
AC002059.1	chr22	29316744	29317220
AC002064.2	chr7	90312496	90322592
AC002064.3	chr7	90266034	90270216
AC002066.1	chr7	116238260	116499465
AC002069.2	chr7	88420167	88756725
AC002070.1	chr12	119361247	119668079
AC002072.1	chrX	112880563	113212186
AC002074.1	chr7	94278680	94395608
AC002074.2	chr7	94311138	94347063
AC002076.1	chr7	93890913	93893601
AC002091.1	chr17	8967523	8976995
AC002091.2	chr17	8965896	8967070
AC002094.1	chr17	28357647	28381697
AC002094.2	chr17	28361601	28362859
AC002094.4	chr17	28373256	28373562
AC002101.1	chr9	133611798	133633099
AC002115.1	chr19	35608285	35612666
AC002116.1	chr19	36008638	36014235
AC002116.2	chr19	36014508	36045972
AC002128.1	chr19	35262846	35264804
AC002128.2	chr19	35251440	35253639
AC002306.1	chr19	19606350	19608660
AC002310.1	chr16	30534752	30537149
AC002310.2	chr16	30572039	30583860
AC002331.1	chr16	26546802	26607396
AC002347.1	chr17	10658542	10659082
AC002347.2	chr17	10680734	10683988
AC002351.1	chr12	110951683	110957820
AC002368.1	chrX	148498113	148500615
AC002375.1	chr12	110831779	110845963
AC002377.1	chrX	121093392	121298035
AC002378.1	chr22	30182818	30207195
AC002383.1	chr7	89443946	89496918
AC002386.1	chr7	109322320	109326315
AC002398.1	chr19	35769144	35771028
AC002398.2	chr19	35754566	35755490
AC002401.1	chr17	50135586	50146176
AC002401.2	chr17	50100704	50101920
AC002401.3	chr17	50098460	50098899
AC002401.4	chr17	50094065	50094647
AC002407.2	chrX	134168911	134174089
AC002428.1	chr5	135900353	135918161
AC002428.2	chr5	135897637	135900250
AC002429.2	chr7	95035731	95214338
AC002451.1	chr7	95545191	95615132
AC002456.1	chr7	90590619	90597353
AC002458.1	chr7	91030149	91033725
AC002460.1	chr4	148940941	148942415
AC002460.2	chr4	148445703	149024624
AC002463.1	chr7	112616440	112896625
AC002464.1	chr6	110477907	110479436
AC002465.1	chr7	117332761	117350096
AC002467.1	chr7	107739999	107744581
AC002470.1	chr22	20981361	20981755
AC002470.2	chr22	20979462	20998121
AC002472.1	chr22	21031354	21044117
AC002480.1	chr7	22563337	22573996
AC002480.2	chr7	22589698	22602536
AC002511.1	chr19	35432957	35434642
AC002511.2	chr19	35424062	35424652
AC002519.1	chr16	31788202	31790993
AC002529.1	chr7	118511942	118513830
AC002542.6	chr7	117091678	117097262
AC002546.1	chr17	69477139	69501755
AC002550.1	chr16	19706351	19715383
AC002550.2	chr16	19694035	19694428
AC002551.1	chr16	27643199	27644663
AC002553.1	chr17	16040472	16041273
